id,dexNum,methodCount,classification,unknownScopeMethodCount
"surskit","283","0","single_record","0"
"masquerain","284","0","single_record","0"
"shroomish","285","0","single_record","0"
"breloom","286","0","single_record","0"
"slakoth","287","0","single_record","0"
"vigoroth","288","0","single_record","0"
"slaking","289","0","single_record","0"
"nincada","290","0","single_record","0"
"ninjask","291","0","single_record","0"
"shedinja","292","0","single_record","0"
"whismur","293","0","single_record","0"
"loudred","294","0","single_record","0"
"exploud","295","0","single_record","0"
"makuhita","296","0","single_record","0"
"hariyama","297","0","single_record","0"
"azurill","298","0","single_record","0"
"nosepass","299","0","single_record","0"
"skitty","300","0","single_record","0"
"delcatty","301","0","single_record","0"
"sableye","302","2","modeled","0"
"sableye-mega","302","2","modeled","0"
"mawile","303","2","modeled","0"
"mawile-mega","303","2","modeled","0"
"aron","304","0","single_record","0"
"lairon","305","0","single_record","0"
"aggron","306","2","modeled","0"
"aggron-mega","306","2","modeled","0"
"meditite","307","0","classified_fixed","0"
"meditite-f","307","0","classified_fixed","0"
"medicham","308","2","modeled","0"
"medicham-f","308","2","modeled","0"
"medicham-mega","308","2","modeled","0"
"electrike","309","0","single_record","0"
"manectric","310","2","modeled","0"
"manectric-mega","310","2","modeled","0"
"plusle","311","0","single_record","0"
"minun","312","0","single_record","0"
"volbeat","313","0","single_record","0"
"illumise","314","0","single_record","0"
"roselia","315","0","classified_fixed","0"
"roselia-f","315","0","classified_fixed","0"
"gulpin","316","0","classified_fixed","0"
"gulpin-f","316","0","classified_fixed","0"
"swalot","317","0","classified_fixed","0"
"swalot-f","317","0","classified_fixed","0"
"carvanha","318","0","single_record","0"
"sharpedo","319","2","modeled","0"
"sharpedo-mega","319","2","modeled","0"
"wailmer","320","0","single_record","0"
"wailord","321","0","single_record","0"
"numel","322","0","classified_fixed","0"
"numel-f","322","0","classified_fixed","0"
"camerupt","323","2","modeled","0"
"camerupt-f","323","2","modeled","0"
"camerupt-mega","323","2","modeled","0"
"torkoal","324","0","single_record","0"
"spoink","325","0","single_record","0"
"grumpig","326","0","single_record","0"
"spinda","327","0","single_record","0"
"trapinch","328","0","single_record","0"
"vibrava","329","0","single_record","0"
"flygon","330","0","single_record","0"
"cacnea","331","0","single_record","0"
"cacturne","332","0","classified_fixed","0"
"cacturne-f","332","0","classified_fixed","0"
"swablu","333","0","single_record","0"
"altaria","334","2","modeled","0"
"altaria-mega","334","2","modeled","0"
"zangoose","335","0","single_record","0"
"seviper","336","0","single_record","0"
"lunatone","337","0","single_record","0"
"solrock","338","0","single_record","0"
"barboach","339","0","single_record","0"
"whiscash","340","0","single_record","0"
"corphish","341","0","single_record","0"
"crawdaunt","342","0","single_record","0"
"baltoy","343","0","single_record","0"
"claydol","344","0","single_record","0"
"lileep","345","0","single_record","0"
"cradily","346","0","single_record","0"
"anorith","347","0","single_record","0"
"armaldo","348","0","single_record","0"
"feebas","349","0","single_record","0"
"milotic","350","0","classified_fixed","0"
"milotic-f","350","0","classified_fixed","0"
"castform","351","4","modeled","3"
"castform-rainy","351","1","modeled","1"
"castform-snowy","351","1","modeled","1"
"castform-sunny","351","1","modeled","1"
"kecleon","352","0","single_record","0"
"shuppet","353","0","single_record","0"
"banette","354","2","modeled","0"
"banette-mega","354","2","modeled","0"
"duskull","355","0","single_record","0"
"dusclops","356","0","single_record","0"
"tropius","357","0","single_record","0"
"chimecho","358","1","modeled","0"
"chimecho-mega","358","1","modeled","0"
"absol","359","3","modeled","0"
"absol-mega","359","2","modeled","0"
"absol-mega-z","359","1","modeled","0"
"wynaut","360","0","single_record","0"
"snorunt","361","0","single_record","0"
"glalie","362","2","modeled","0"
"glalie-mega","362","2","modeled","0"
"spheal","363","0","single_record","0"
"sealeo","364","0","single_record","0"
"walrein","365","0","single_record","0"
"clamperl","366","0","single_record","0"
"huntail","367","0","single_record","0"
"gorebyss","368","0","single_record","0"
"relicanth","369","0","classified_fixed","0"
"relicanth-f","369","0","classified_fixed","0"
"luvdisc","370","0","single_record","0"
"bagon","371","0","single_record","0"
"shelgon","372","0","single_record","0"
"salamence","373","2","modeled","0"
"salamence-mega","373","2","modeled","0"
"beldum","374","0","single_record","0"
"metang","375","0","single_record","0"
"metagross","376","2","modeled","0"
"metagross-mega","376","2","modeled","0"
"regirock","377","0","single_record","0"
"regice","378","0","single_record","0"
"registeel","379","0","single_record","0"
"latias","380","2","modeled","0"
"latias-mega","380","2","modeled","0"
"latios","381","2","modeled","0"
"latios-mega","381","2","modeled","0"
"kyogre","382","3","modeled","0"
"kyogre-primal","382","2","modeled","0"
"groudon","383","3","modeled","0"
"groudon-primal","383","2","modeled","0"
"rayquaza","384","2","modeled","0"
"rayquaza-mega","384","2","modeled","0"
"jirachi","385","0","single_record","0"
"deoxys","386","11","modeled","0"
"deoxys-attack","386","8","modeled","0"
"deoxys-defense","386","8","modeled","0"
"deoxys-speed","386","8","modeled","0"
"turtwig","387","0","single_record","0"
"grotle","388","0","single_record","0"
"torterra","389","0","single_record","0"
"chimchar","390","0","single_record","0"
"monferno","391","0","single_record","0"
"infernape","392","0","single_record","0"
"piplup","393","0","single_record","0"
"prinplup","394","0","single_record","0"
"empoleon","395","0","single_record","0"
"starly","396","0","classified_fixed","0"
"starly-f","396","0","classified_fixed","0"
"staravia","397","0","classified_fixed","0"
"staravia-f","397","0","classified_fixed","0"
"staraptor","398","1","modeled","0"
"staraptor-f","398","1","modeled","0"
"staraptor-mega","398","1","modeled","0"
"bidoof","399","0","classified_fixed","0"
"bidoof-f","399","0","classified_fixed","0"
"bibarel","400","0","classified_fixed","0"
"bibarel-f","400","0","classified_fixed","0"
"kricketot","401","0","classified_fixed","0"
"kricketot-f","401","0","classified_fixed","0"
"kricketune","402","0","classified_fixed","0"
"kricketune-f","402","0","classified_fixed","0"
"shinx","403","0","classified_fixed","0"
"shinx-f","403","0","classified_fixed","0"
"luxio","404","0","classified_fixed","0"
"luxio-f","404","0","classified_fixed","0"
"luxray","405","0","classified_fixed","0"
"luxray-f","405","0","classified_fixed","0"
"budew","406","0","single_record","0"
"roserade","407","0","classified_fixed","0"
"roserade-f","407","0","classified_fixed","0"
"cranidos","408","0","single_record","0"
"rampardos","409","0","single_record","0"
"shieldon","410","0","single_record","0"
"bastiodon","411","0","single_record","0"
"burmy","412","3","modeled","0"
"burmy-sandy","412","7","modeled","0"
"burmy-trash","412","3","modeled","0"
"wormadam","413","0","classified_fixed","0"
"wormadam-sandy","413","0","classified_fixed","0"
"wormadam-trash","413","0","classified_fixed","0"
"mothim","414","0","single_record","0"
"combee","415","0","classified_fixed","0"
"combee-f","415","0","classified_fixed","0"
"vespiquen","416","0","single_record","0"
"pachirisu","417","0","classified_fixed","0"
"pachirisu-f","417","0","classified_fixed","0"
"buizel","418","0","classified_fixed","0"
"buizel-f","418","0","classified_fixed","0"
"floatzel","419","0","classified_fixed","0"
"floatzel-f","419","0","classified_fixed","0"
"cherubi","420","0","single_record","0"
"cherrim","421","5","modeled","3"
"cherrim-sunshine","421","5","modeled","1"
"shellos","422","0","classified_fixed","0"
"shellos-east","422","0","classified_fixed","0"
"gastrodon","423","0","classified_fixed","0"
"gastrodon-east","423","0","classified_fixed","0"
"ambipom","424","0","classified_fixed","0"
"ambipom-f","424","0","classified_fixed","0"
"drifloon","425","0","single_record","0"
"drifblim","426","0","single_record","0"
"buneary","427","0","single_record","0"
"lopunny","428","2","modeled","0"
"lopunny-mega","428","2","modeled","0"
"mismagius","429","0","single_record","0"
"honchkrow","430","0","single_record","0"
"glameow","431","0","single_record","0"
"purugly","432","0","single_record","0"
"chingling","433","0","single_record","0"
"stunky","434","0","single_record","0"
"skuntank","435","0","single_record","0"
"bronzor","436","0","single_record","0"
"bronzong","437","0","single_record","0"
"bonsly","438","0","single_record","0"
"mimejr","439","0","single_record","0"
"happiny","440","0","single_record","0"
"chatot","441","0","single_record","0"
"spiritomb","442","0","single_record","0"
"gible","443","0","classified_fixed","0"
"gible-f","443","0","classified_fixed","0"
"gabite","444","0","classified_fixed","0"
"gabite-f","444","0","classified_fixed","0"
"garchomp","445","3","modeled","0"
"garchomp-f","445","3","modeled","0"
"garchomp-mega","445","2","modeled","0"
"garchomp-mega-z","445","1","modeled","0"
"munchlax","446","0","single_record","0"
"riolu","447","0","single_record","0"
"lucario","448","3","modeled","0"
"lucario-mega","448","2","modeled","0"
"lucario-mega-z","448","1","modeled","0"
"hippopotas","449","0","classified_fixed","0"
"hippopotas-f","449","0","classified_fixed","0"
"hippowdon","450","0","classified_fixed","0"
"hippowdon-f","450","0","classified_fixed","0"
"skorupi","451","0","single_record","0"
"drapion","452","0","single_record","0"
"croagunk","453","0","classified_fixed","0"
"croagunk-f","453","0","classified_fixed","0"
"toxicroak","454","0","classified_fixed","0"
"toxicroak-f","454","0","classified_fixed","0"
"carnivine","455","0","single_record","0"
"finneon","456","0","classified_fixed","0"
"finneon-f","456","0","classified_fixed","0"
"lumineon","457","0","classified_fixed","0"
"lumineon-f","457","0","classified_fixed","0"
